日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー
2026-02-01,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-02,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-03,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-04,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-05,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-06,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-07,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-08,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-09,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-10,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-11,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-12,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-13,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-14,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-15,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-16,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-17,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-18,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-19,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-20,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-21,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-22,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-23,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-24,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-25,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-26,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-27,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,0
2026-02-28,3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,830
2026-02-01,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-02,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-03,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-04,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-05,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-06,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-07,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-08,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-09,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-10,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-11,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-12,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-13,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-14,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-15,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-16,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-17,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-18,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-19,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-20,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-21,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-22,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-23,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-24,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-25,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-26,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-27,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,0
2026-02-28,87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,94
2026-02-01,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,3
2026-02-02,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,2
2026-02-03,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-04,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-05,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-06,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-07,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-08,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,3
2026-02-09,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,3
2026-02-10,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,3
2026-02-11,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-12,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-13,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-14,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-15,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-16,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,2
2026-02-17,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-18,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-19,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-20,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-21,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-22,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-23,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-24,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-25,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-26,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,0
2026-02-27,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,3
2026-02-28,MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,1
2026-02-01,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,4
2026-02-02,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,1
2026-02-03,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,1
2026-02-04,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-05,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-06,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,1
2026-02-07,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,3
2026-02-08,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-09,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-10,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,3
2026-02-11,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-12,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-13,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,1
2026-02-14,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,1
2026-02-15,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-16,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,1
2026-02-17,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-18,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-19,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-20,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-21,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-22,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-23,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-24,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,2
2026-02-25,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-26,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,0
2026-02-27,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,1
2026-02-28,em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,2
2026-02-01,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-02,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-03,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-04,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-05,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-06,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-07,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-08,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-09,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-10,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-11,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-12,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-13,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-14,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,180
2026-02-15,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,49
2026-02-16,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,14
2026-02-17,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,5
2026-02-18,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,5
2026-02-19,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,7
2026-02-20,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,1
2026-02-21,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,6
2026-02-22,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,3
2026-02-23,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-24,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,1
2026-02-25,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-26,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,0
2026-02-27,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,4
2026-02-28,tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,12
