コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
GE9Ze9sM2cA,冬の市場の現状まとめ【マンチェスターユナイテッド】,"Jan 15, 2025",651,,,,,0,,,,,,,4,0
H2fXs9jlfTc,【ダービー】マンチェスターユナイテッドvsリヴァプール試合感想,"Apr 8, 2024",370,,,,,0,,,,,,,2,0
H3YNiA9K_Bw,【マンチェスターユナイテッド】サンチョさん売れるらしいけども・・・,"Aug 29, 2024",42,,,,,0,,,,,,,12,0
H85-11vX1g4,【マンチェスターユナイテッド】復興の兆し、ラトクリフは何を成せるのか,"Feb 16, 2024",804,,,,,0,,,,,,,3,0
HCLot-5annc,2026年ワールドカップじゃないですか。アンチェロッティも熱いしトゥヘルも熱いし。【切り抜き】,"Jun 19, 2025",591,,,,,0,,,,,,,31,0
HRE6Oeqw5Is,ManUTDマウント獲得！,"Jul 2, 2023",46,,,,,0,,,,,,,3,0
IJuqyGlG-ZU,メイヌー、ガルナチョの売却説についてお話【マンチェスターユナイテッド】,"Jan 14, 2025",617,,,,,0,,,,,,,5,0
J0V2IEn1r14,ウェストハム戦感想：プレスは結構リスキーかなと【マンチェスターユナイテッド】 #manchesterutd #サッカー,"Jul 29, 2025",52,,,,,0,,,,,,,115,0
JDYXSNAohF0,【マンチェスターユナイテッド】ガルナチョのWB起用の話 #manchesterutd #サッカー #マンチェスターユナイテッド,"Nov 22, 2024",59,,,,,0,,,,,,,16,0
JQPP7Oj92dA,【マンチェスターユナイテッド】Bodø/Glimt戦スタメン予想,"Nov 28, 2024",56,,,,,0,,,,,,,39,0
KJ0Kn-s6OEs,エンベウモとユナイテッドタックスとINEOSと #manchesterutd #サッカー,"Jul 17, 2025",109,,,,,0,,,,,,,75,0
KNH-xrHK-lY,【切り抜き】マンチェスターユナイテッドデラップ取るらしいね。ギョケレズとか行きません？,"May 1, 2025",362,,,,,0,,,,,,,8,0
KhJdd_z0SWo,ストライカー会議始動。どうやら中盤は優先度低いみたい。大丈夫ですか？【マンチェスターユナイテッド】,"Jul 23, 2025",16567,,,,,0,,,,,,,25,0
L3ijYgALsow,さて、どこに向かうのでしょうか【マンチェスターユナイテッド】,"Sep 16, 2025",16974,,,,,0,,,,,,,19,0
LVB-qjrL4AM,プレミア開幕、ちょっとバユンドゥルキツイか流石に【マンチェスターユナイテッド】,"Aug 18, 2025",18468,,,,,0,,,,,,,10,0
N3B5lfs5ZUA,【マンチェスターユナイテッド】コミュニティシールドに向けてって話,"Aug 9, 2024",420,,,,,0,,,,,,,2,0
N6O6vhFxuEE,エンベウモ第三オファー,"Jul 18, 2025",9968,,,,,0,,,,,,,8,0
OU6KMNQW9R8,【マンチェスターユナイテッド】来季スタメン予想,"Jul 6, 2024",715,,,,,0,,,,,,,7,0
OlfrJIhLcu4,メイヌー売却論までの流れ【マンチェスターユナイテッド】 #manchesterutd #プレミアリーグ #manchesterutd #kobbiemainoo,"Mar 22, 2025",93,,,,,0,,,,,,,43,0
OxrwrDuFkSs,パトリック・ドルグ加入決定したみたいなので期待値しゃべる(クエンダのおまけつき)【マンチェスターユナイテッド】,"Feb 1, 2025",435,,,,,0,,,,,,,10,0
Q4PrD9TSth4,【ユナイテッド】現スカッドの売却候補,"Dec 15, 2023",1227,,,,,0,,,,,,,2,0
Qv1AAo8N0GU,【試合感想】マンチェスターユナイテッドvsノッティンガムフォレスト,"Aug 27, 2023",1286,,,,,0,,,,,,,4,0
QycvEZGa7dg,喋る事リスト→ビルバオ完封！！！！！！取るぞEL！！！！！！！【マンチェスターユナイテッド】,"May 3, 2025",9079,,,,,0,,,,,,,1,0
RAjIzTNvMvY,【マンチェスターユナイテッド】ヨロスタートか？勝ちたいフォレスト戦,"Dec 7, 2024",140,,,,,0,,,,,,,2,0
RHli0BgMYv8,【マンチェスターユナイテッド】新監督アモリムへの期待値をしゃべりたい,"Nov 24, 2024",325,,,,,0,,,,,,,4,0
S-9kXBtCGdI,モウリーニョが語る、ユナイテッドの問題点,"Dec 20, 2023",645,,,,,0,,,,,,,3,0
SENyWh5M6ks,【マンチェスターユナイテッド】質問:ウガルテは急浮上の案件だったと思うのですが、その信用度はどう思われますか。活躍の安定と確度に関して教えてください #マンチェスターユナイテッド #サッカー #移籍,"Aug 5, 2024",54,,,,,0,,,,,,,3,0
TH8X-WsWY5g,アモリム続投しますかぁ、って世界【マンチェスターユナイテッド】,"Oct 3, 2025",621,,,,,0,,,,,,,138,0
TMh1_Lmzmzo,シェシュコ決まりそうやん何でやねん動画出来てへんって【マンチェスターユナイテッド】,"Aug 6, 2025",7339,,,,,0,,,,,,,8,0
TanUy10DobA,FAカップ準決勝、マンチェスターユナイテッドvsコヴェントリー予想,"Apr 21, 2024",56,,,,,0,,,,,,,8,0
To8Z0Z2QAYA,シーズン後半の期待値は、ELくらい【マンチェスターユナイテッド】,"Feb 22, 2025",527,,,,,0,,,,,,,3,0
UIiHa5FBiL8,【サッカー】スーパーリーグについて喋らせて,"Dec 22, 2023",650,,,,,0,,,,,,,2,0
UZlYAtlgyz8,【ラッシュフォード】本格的に最後のシーズンになりそうだね,"Dec 18, 2024",557,,,,,0,,,,,,,4,0
V8CBvj5vkx4,エンベウモの次のお話、シェシュコやらバレバやらワトキンスやら【マンチェスターユナイテッド】,"Jul 24, 2025",1147,,,,,0,,,,,,,19,0
W0gYHcbPXGw,モウリーニョ復帰！？個人的には〇〇です。,"Feb 1, 2024",441,,,,,0,,,,,,,2,0
WDElwixNw1o,garnacho really reminds me of a certain someone... #マンチェスターユナイテッド #garnacho #kaka,"Dec 27, 2023",16,,,,,0,,,,,,,1,0
WNGU9UQ-k6Q,スコット・マクトミネイの起用法 #サッカー #マンチェスターユナイテッド,"Nov 22, 2023",58,,,,,0,,,,,,,6,0
WTnRhR_1XUg,【ラッシュフォード】ラッシュフォード不調のわけ,"Jun 19, 2024",674,,,,,0,,,,,,,2,0
WXIf5EeTxrc,朝9時まで、おはようしつつ雑談。勉強だるい人による一休み配信。,,4503,,,,,0,,,,,,,1,0
Wt9RIqWA6JI,エンベウモ加入間近！？来季ユナイテッドの2大エースのお話【マンチェスターユナイテッド】,"Jun 25, 2025",633,,,,,0,,,,,,,11,0
WuS-iLSvXUM,【ネタ】サッカーファンに対する偏見,"Jul 27, 2024",59,,,,,0,,,,,,,21,0
XPao-EJEaWk,rashford decided to turn his godmode on ig,"Jul 26, 2023",6,,,,,0,,,,,,,3,0
XrJqfm1ZHvQ,【マンチェスターユナイテッド】アーセナル(疑似ストーク)に負けましたね。全てが足りないわ。現状確認完了,"Dec 5, 2024",381,,,,,0,,,,,,,3,0
YBt-HmeVEL8,夏移籍の補強候補たち【マンチェスターユナイテッド】,"Apr 1, 2025",751,,,,,0,,,,,,,10,0
YP_JlVbIDuY,プレミア開幕！というわけでシーズン予想【マンチェスターユナイテッド】,"Aug 13, 2025",846,,,,,0,,,,,,,46,0
Y_vNr6p1wiI,【マンチェスターユナイテッド】対バーンリー戦感想,"Sep 23, 2023",60,,,,,0,,,,,,,3,0
Yzxq1d3CRD8,【マンチェスターユナイテッド】アモリム下でガルナチョの起用法悩むよな,"Nov 21, 2024",684,,,,,0,,,,,,,2,0
ZKcbL_Ws5aI,これが新FWラインですかね。あ、あと歯医者行ってきたよ【マンチェスターユナイテッド】,"Aug 11, 2025",26594,,,,,0,,,,,,,8,0
ZSv_7zSpMTc,テンハグ解任されましたね。反応,"Oct 28, 2024",145,,,,,0,,,,,,,2,0
Zg5Tv0YCPWw,【マンチェスターユナイテッド】ヨロユナイテッド加入！パート1,"Jul 18, 2024",398,,,,,0,,,,,,,8,0
_v6btSiDaYo,【マンチェスターユナイテッド】プレシーズン同時試聴,,22277,,,,,0,,,,,,,1,0
_y0oT0Driik,マンチェスターユナイテッド vs ウルブス　感想！,"Feb 1, 2024",56,,,,,0,,,,,,,25,0
a0wes4JxA8A,コビーメイヌー、いや多分売られないと思いますよ【マンチェスターユナイテッド】,"Mar 21, 2025",564,,,,,0,,,,,,,9,0
aHgz8ox3Flo,かつて天才と呼ばれた男、ジェイドン・サンチョの惨劇【マンチェスターユナイテッド】,"Mar 28, 2025",441,,,,,0,,,,,,,6,0
aIz2BFL3a0E,ラッシュフォードの問題点,"Sep 17, 2023",49,,,,,0,,,,,,,1,0
b0kk6gBie24,テンハグ、おそらく残ります。,"May 8, 2024",521,,,,,0,,,,,,,2,0
bBslstu0GIQ,ホイルンドのスタイルをわかりやすく #マンチェスターユナイテッド #サッカー #manchesterutd,"Jul 28, 2023",53,,,,,0,,,,,,,25,0
bGkk63G6o04,シェシュコオファーらしい【マンチェスターユナイテッド】,"Aug 5, 2025",15720,,,,,0,,,,,,,13,0
bZWw42vp4Zs,【マンチェスターユナイテッド】テンハフ、冬に向けて,"Sep 23, 2023",56,,,,,0,,,,,,,6,0
bbqjEw8yqOQ,メリクリ、てなわけで夏の補強選手評価のお時間【マンチェスターユナイテッド】,"Dec 25, 2024",476,,,,,0,,,,,,,3,0
bt-CdlhKbl4,garnacho's godmode,"Jul 26, 2023",4,,,,,0,,,,,,,1,0
c8hr1yxyP4M,【マンチェスターユナイテッド】リヴァプール戦プレビュ,"Aug 31, 2024",59,,,,,0,,,,,,,16,0
cVeq9x9JJc4,ボーンマス戦感想：これは流石にドルグーノ・メンデスか【マンチェスターユナイテッド】,"Jul 31, 2025",11179,,,,,0,,,,,,,3,0
d4JL9y2qBqk,【マンチェスターユナイテッド】史上ベスト11を組みたい,"Nov 19, 2024",58,,,,,0,,,,,,,38,0
dRlBsjYq9Gk,移籍市場、シンプルに足りないってのが今の感想ですね。【マンチェスターユナイテッド】,"Jul 11, 2025",929,,,,,0,,,,,,,11,0
dSXUbbIcf2o,【切り抜き】プレシーズン、vsアーセナル,"Jul 23, 2023",584,,,,,0,,,,,,,1,0
dykVTqS6f7g,【ティアリスト】マンチェスターユナイテッド、売却の夏,"Jun 16, 2024",1013,,,,,0,,,,,,,4,0
e35_ImJ_x8U,アモリムのプレシーズンに向けてって話【マンチェスターユナイテッド】,"Jul 7, 2025",430,,,,,0,,,,,,,12,0
e6JmdshPcY4,2025/26シーズン皆の予想を見ていく→雑談【プレミアリーグ】,"Aug 16, 2025",9641,,,,,0,,,,,,,7,0
ePYN5K6DEGE,マンチェスターユナイテッドの政権交代の難しさ,"Jan 4, 2024",51,,,,,0,,,,,,,2,0
eWlJIwHlbGo,【記念】マンチェスターユナイテッド好きのvtuber(?)がたくさん質問答えます,"Jan 12, 2024",1697,,,,,0,,,,,,,5,0
et2vkhaSzT0,ラッシュフォード右WG大作戦,"Sep 19, 2023",46,,,,,0,,,,,,,5,0
fHvxg41xQHU,移籍最終日耐久配信～【マンチェスターユナイテッド・雑談】,"Sep 1, 2025",22248,,,,,0,,,,,,,13,0
fO1ClgzE-Jk,エンベウモ合意、ブルーノ残留、サンチョはどっか行ってくれ【マンチェスターユナイテッド】,"Jun 4, 2025",8369,,,,,0,,,,,,,3,0
gMrdI6GnUcI,【フリーBGM】Untitled,"Dec 17, 2024",141,,,,,0,,,,,,,2,0
gxVAGQy0N_I,プレミア開幕間近、アモリムとINEOSの今までを振り返る【マンチェスターユナイテッド】,"Aug 5, 2025",1556,,,,,0,,,,,,,33,0
hLR8AI_jlFQ,【切り抜き】ガルナチョ育成案パート１,"Aug 6, 2023",785,,,,,0,,,,,,,5,0
hflbIb7SiEA,【マンチェスターユナイテッド】コミュニティシールド同時視聴,,13683,,,,,0,,,,,,,1,0
i7OJpmmuxAw,【マンチェスターユナイテッド】2024夏補強の現状評価,"Nov 20, 2024",369,,,,,0,,,,,,,5,0
iQ1kvLWYua4,【マンチェスターユナイテッド】アモリム、初陣！vsイプスウィッチ,"Nov 22, 2024",505,,,,,0,,,,,,,8,0
irAyFHccBuY,コメントでもガンガンどうぞ大体答えます #vtuber #質問箱 #性癖,"Jan 21, 2024",50,,,,,0,,,,,,,10,0
jG81wpvpbTI,【ティアリスト】ユナイテッド補強ティア、デ・ヨング加入説を熟考する,"Mar 25, 2024",681,,,,,0,,,,,,,2,0
k3kfGc5P6Ds,mufc売却ティアリスト #マンチェスターユナイテッド #移籍市場 #mufc #プレミアリーグ,"Jun 16, 2024",50,,,,,0,,,,,,,8,0
kOhUfe6vMYU,ルーニー、どう考えても怪物,"Jul 28, 2023",5,,,,,0,,,,,,,5,0
ktfoaigLwEc,【マンチェスターユナイテッド】伝説のFW?ウェイン・ルーニー # #マンチェスターユナイテッド #ルーニー #premierleague,"Jul 16, 2024",56,,,,,0,,,,,,,36,0
lh5o_V2HaTQ,【マンチェスターユナイテッド】フラム戦スタメン予想,"Aug 16, 2024",237,,,,,0,,,,,,,3,0
m9fe6j0rvRI,【サッカー】インターナショナル要らなくね？,"Dec 12, 2023",756,,,,,0,,,,,,,2,0
mawK2HYgvA4,マジで勝てた！アーセナル戦感想【マンチェスターユナイテッド】,"Mar 10, 2025",479,,,,,0,,,,,,,4,0
mkqG8rGWvfQ,【切り抜き】ラッシュフォードとホイルンドの化学反応,"Aug 2, 2023",494,,,,,0,,,,,,,11,0
nFzJ_USQfQQ,【マンチェスターユナイテッド】アモリムが就任するみたいです。,"Nov 3, 2024",261,,,,,0,,,,,,,2,0
nmIsO-wbHKQ,キーンが来るらしい【マンチェスターユナイテッド】,"Jul 9, 2025",10907,,,,,0,,,,,,,2,0
oa_8bhV6eUo,【救済】サンチョの偽9番案！,"Jul 24, 2023",677,,,,,0,,,,,,,4,0
olzUoeyUbGM,ガルナチョの今後について喋る必要がありそう【マンチェスターユナイテッド】,"Apr 4, 2025",922,,,,,0,,,,,,,7,0
pN0x7wE0vZU,【マンチェスターダービー】アモリム初ダービー、勝ったぞ！！シティ打破完了！,"Dec 16, 2024",237,,,,,0,,,,,,,4,0
pODgjyFnqAI,マクトミネイはFWで使おう #サッカー #マンチェスターユナイテッド,"Dec 10, 2023",42,,,,,0,,,,,,,3,0
ppVJV1DLdVs,【マンチェスターユナイテッド】追加の補強を考える。デリフトとかハンコとか他色々(キャッキャ),"Aug 2, 2024",312,,,,,0,,,,,,,2,0
qhkPZrq1c9M,喋る事リスト→ST探し、オナナの件、クーニャ有力、リヨン戦、チェルキの話等々【マンチェスターユナイテッド】,"Apr 14, 2025",25012,,,,,0,,,,,,,3,0
qtW9QhwhTAI,モウリーニョがMUFCを語る #切り抜き #マンチェスターユナイテッド,"Dec 20, 2023",37,,,,,0,,,,,,,16,0
rInxLxlwN9s,新ゴールマシーンはオシムヘン？ラッシュフォード売ったら誰とるって話【マンチェスターユナイテッド】,"Dec 29, 2024",317,,,,,0,,,,,,,3,0
rO12JWCzXSo,【here we go!】ようやくホイルンド来た！！！,"Jul 30, 2023",875,,,,,0,,,,,,,4,0
reYnLiEx2G0,ユベントスさん頼むからサンチョを引き取ってください【マンチェスターユナイテッド】,"Jul 2, 2025",7966,,,,,0,,,,,,,1,0
rgmO-MTA3Lg,ラッシュフォード、やはりメンヘラな模様,"Apr 26, 2024",491,,,,,0,,,,,,,2,0
s4EYxhxPcKo,プレシーズン開幕。問題点多数ですかね【マンチェスターユナイテッド・切り抜き】,"Jul 20, 2025",681,,,,,0,,,,,,,16,0
sj3m1n1KxDk,ウェストハム戦。全体的に成長かと。MOTMはブルーノかクーニャかな？とか思うてます【マンチェスターユナイテッド・雑談】,"Jul 27, 2025",11548,,,,,0,,,,,,,2,0
tlhhIZPxJvI,ビルバオ突破。打倒スパーズ。MOTMはマウントで良いかな？【マンチェスターユナイテッド】,"May 9, 2025",8892,,,,,0,,,,,,,6,0
uE9sIOQlcSE,ウェストハム戦感想：ブルーノ2ゴール、クーニャ活躍、ホイルンド成長？【マンチェスターユナイテッド】,"Jul 28, 2025",997,,,,,0,,,,,,,23,0
uO7zGpFVVR4,ワトキンスねぇ【マンチェスターユナイテッド】,"Jul 1, 2025",13613,,,,,0,,,,,,,1,0
uf57CgwjGJk,【プレミアリーグ】マンチェスターユナイテッド選手評価,"Dec 30, 2023",1280,,,,,0,,,,,,,3,0
vLwAtu2lXGE,候補:オシムヘン、クーニャ、シモンズ等々。ユナイテッド、前線総入れ替えするってよ。【マンチェスターユナイテッド】,"Apr 17, 2025",1485,,,,,0,,,,,,,6,0
vVe_zXGpTVE,【移籍】ユナイテッド、売るか悩む選手三選,"Nov 14, 2023",223,,,,,0,,,,,,,2,0
vkIcN_Dkx44,ラトクリフのインタビューについてお話しやす【マンチェスターユナイテッド】,"Mar 11, 2025",566,,,,,0,,,,,,,7,0
vnh9YmTs58w,おはようしつつ雑談。ちなみにスタバのトリプルエスプレッソラテ美味いぞ。PSG勝ったね～,"Apr 30, 2025",5994,,,,,0,,,,,,,3,0
w-MGTLDFLtY,【プレミア第18節】ウェストハム戦感想　～ビルドアップとマクトミネイ～,"Dec 24, 2023",323,,,,,0,,,,,,,3,0
wKHjSBJ76fk,ヴィニシウスの差別問題、スペインが悪いん？,"Mar 27, 2024",726,,,,,0,,,,,,,9,0
wp8iJ17kkNk,【マンチェスターユナイテッド】三苫所属のブライトン戦プレビュー,"Aug 23, 2024",55,,,,,0,,,,,,,5,0
x5yzzTQ5BBw,【マンチェスターユナイテッド】デリフトorレニー・ヨロどちらかしか取れない模様・・・ #マンチェスターユナイテッド #サッカー #移籍 #premierleague #lenyyoro,"Jul 17, 2024",44,,,,,0,,,,,,,22,0
xTu2eHiMjuk,ユナイテッドが冬に売るべき選手三戦 #サッカー #マンチェスターユナイテッド,"Nov 11, 2023",56,,,,,0,,,,,,,3,0
xUQ6026bhmg,ティアリスト作ったり、ブルーノの話したり、Cl決勝の話したり【マンチェスターユナイテッド】,"Jun 1, 2025",3122,,,,,0,,,,,,,2,0
yv1FspEhHNU,プレシーズン、リーズ戦感想【マンチェスターユナイテッド・雑談】,"Jul 19, 2025",13696,,,,,0,,,,,,,1,0
ywATPmVodw4,【here we go】ヨシュア・ザークツィ、ユナイテッド加入,"Jul 12, 2024",578,,,,,0,,,,,,,2,0
zIDVfr-94zs,【マンチェスターユナイテッド】勝利必須のアウェイヨーロッパリーグ、スタメン予想,"Dec 12, 2024",213,,,,,0,,,,,,,2,0
zVw4U8EIhIU,クーニャ？デラップ？夏の前線補強最新情報更新。【マンチェスターユナイテッド】,"Apr 24, 2025",558,,,,,0,,,,,,,6,0
zXr7uRXwhVM,マンチェスターユナイテッド好きに一問一答1,"Jul 17, 2023",59,,,,,0,,,,,,,2,0
zZrO8keFDls,【無料】マンチェスターユナイテッドの試合を見る方法,"Oct 9, 2023",315,,,,,0,,,,,,,5,0
zm3Nk9zwvTc,オナナのでかすぎるメリットについて,"Jul 17, 2023",57,,,,,0,,,,,,,25,0
